GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),drtg,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,treb,ast,stl,blk,pts,posicion,ronda,altura_cm,rango_pick
33,50.3,106.2,23.2,63.8,62.88,11.6,17.1,3.3,20.9,0.559,0.642,0.0,6.8,1.5,49.5,0.17644775,0.58,0.3333,95.2855,132.228,2.75191,0.948526,1.80338,3.57823,20.3333,2.14146,1.43677,4.6667,0.2727,0.4848,1.1212,8.8485,desconocido,R1,213.4,21-30
12,31.0,115.7,35.0,58.0,62.75,4.0,14.5,25.1,14.7,0.849,0.485,0.516,1.2,2.7,37.6,1.09374883,0.5397,0.4328,97.4339,72.2165,6.97876,7.26103,-0.28227,9.31489,31.0,9.03588,0.279008,5.0,2.9167,1.4167,0.3333,23.9167,Combo G,R1,190.5,1-10
32,86.5,119.6,23.1,55.6,59.77,2.3,10.6,15.4,12.2,0.873,0.522,0.391,2.8,1.7,27.1,1.49997033,0.6747,0.4215,108.415,183.651,6.08701,5.60009,0.486916,7.91906,34.875,7.20242,0.716637,3.7188,2.5312,1.0,1.0,18.3438,Wing G,R1,195.6,21-30
32,82.9,102.7,27.9,47.0,51.86,3.8,23.1,13.4,13.1,0.823,0.439,0.339,2.5,2.9,29.5,0.86958541,0.5794,0.3247,91.7651,257.355,5.55059,2.74613,2.80446,7.2026,33.4375,4.49348,2.70911,7.8438,1.875,1.75,0.8125,18.4062,Wing F,R2,198.1,41-50
27,78.0,104.1,28.6,51.6,57.46,2.3,16.2,20.2,22.0,0.846,0.463,0.4,2.3,2.5,38.9,0.84543827,0.6204,0.3358,96.0766,207.722,6.28955,3.1998,3.08975,7.41636,35.4074,4.87999,2.53637,6.1852,3.4444,1.5926,0.7778,20.2222,Wing F,R1,203.2,1-10
32,72.0,101.5,21.6,55.8,58.19,13.5,23.4,2.4,23.1,0.636,0.582,0.167,6.5,1.2,57.2,0.125,0.6723,0.2909,97.8142,200.087,1.05226,-0.665003,1.71726,1.95547,29.0312,1.43054,0.524922,9.5,0.3125,0.5938,1.9062,11.5625,C,R2,205.7,51-60
35,80.5,112.9,28.5,57.2,62.03,10.7,32.7,18.7,20.9,0.781,0.548,0.447,2.5,0.8,49.9,0.89832113,0.7603,0.3862,91.6952,269.176,8.41421,3.67001,4.74421,8.46663,32.5429,5.52616,2.94046,12.4571,3.0286,0.4286,0.8,18.4571,PF/C,R1,205.7,21-30
36,70.1,96.4,23.6,45.9,49.88,2.0,10.6,10.7,20.7,0.772,0.394,0.333,1.9,2.9,26.4,0.7291409,0.5125,0.2824,94.4086,209.227,3.18676,1.24477,1.942,3.03069,29.6944,0.680393,2.3503,3.6944,1.9444,1.5556,0.5833,13.4722,Wing F,R1,203.2,1-10
34,81.1,117.8,28.9,55.8,61.14,8.5,16.6,11.8,12.8,0.735,0.558,0.333,4.9,1.0,70.0,0.77939999,0.7047,0.4348,98.3574,212.0,6.03969,3.28373,2.75595,8.96929,32.9118,6.76371,2.20558,7.3824,1.5588,0.5588,1.5,20.4118,PF/C,R2,205.7,41-50
33,81.4,118.8,31.3,52.9,56.73,2.3,10.7,39.8,14.9,0.783,0.507,0.373,1.6,3.2,31.3,2.40230118,0.6092,0.4615,100.124,203.057,8.30782,8.05255,0.25527,10.2868,32.1714,8.84184,1.44499,3.6857,5.9714,1.9429,0.4857,20.2,Pure PG,R1,188.0,11-20
